_id,State/UT/City,Dangerous or Careless Driving/ Overtaking etc Cases,Dangerous or Careless Driving/ Overtaking etc Injured,Dangerous or Careless Driving/ Overtaking etc Died,Overspeeding Cases,Overspeeding Injured,Overspeeding Died,Driving under Influence of Drug/Alcohol Cases,Driving under Influence of Drug/Alcohol Injured,Driving under Influence of Drug/Alcohol Died,Physical Fatigue of Drivers Cases,Physical Fatigue of Drivers Injured,Physical Fatigue of Drivers Died,Defect in Mechanical Condition of Vehicle Cases,Defect in Mechanical Condition of Vehicle Injured,Defect in Mechanical Condition of Vehicle Died,Animal Crossing Cases,Animal Crossing Injured,Animal Crossing Died,Weather Condition (Total) Cases,Weather Condition (Total) Injured,Weather Condition (Total) Died,Weather Condition (Poor Visibility) Cases,Weather Condition (Poor Visibility) Injured,Weather Condition (Poor Visibility) Died,Weather Condition (Other Causes) Cases,Weather Condition (Other Causes) Injured,Weather Condition (Other Causes) Died,Lack of Road Infrastructure Cases,Lack of Road Infrastructure Injured,Lack of Road Infrastructure Died,Vehicles Parking at Road Shoulders Cases,Vehicles Parking at Road Shoulders Injured,Vehicles Parking at Road Shoulders Died,Causes Not Known Cases,Causes Not Known Injured,Causes Not Known Died,Other Causes Cases,Other Causes Injured,Other Causes Died,Total Road Accidents Cases,Total Road Accidents Injured,Total Road Accidents Died
79,PUNE,85,23,62,165,48,128,7,0,7,0,0,0,0,0,0,3,3,3,4,0,4,4,0,4,0,0,0,1,0,1,7,1,6,3,0,3,29,19,10,304,94,224
80,RAIPUR,81,75,18,634,374,70,0,0,0,7,4,1,29,16,2,14,8,4,0,0,0,0,0,0,0,0,0,8,5,2,13,8,6,146,76,42,0,0,0,932,566,145
81,RAJKOT,0,0,0,346,276,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,7,363,288,135
82,RANCHI,0,0,0,84,69,48,99,60,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,129,102
83,SRINAGAR,0,0,0,331,347,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,347,40
84,SURAT,0,0,0,660,501,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,670,513,272
85,THIRUVANANTHAPURAM,465,465,38,833,884,75,26,21,0,0,0,0,12,4,0,19,38,0,25,39,3,24,38,3,1,1,0,2,2,1,56,62,0,0,0,0,0,0,0,1438,1515,117
86,THRISSUR,220,287,18,1476,1580,172,4,1,0,0,0,0,17,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1719,1875,201
87,TIRUCHIRAPPALLI,34,29,17,353,339,108,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,4,0,0,0,399,377,130
88,VADODARA,23,18,5,436,326,141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,349,146
89,VARANASI,41,26,60,36,14,35,9,3,0,0,0,0,0,0,0,13,11,13,6,1,0,6,1,0,0,0,0,0,0,0,3,5,3,25,26,34,0,0,0,133,86,145
90,VASAI VIRAR,70,62,22,276,191,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,3,2,352,256,150
91,VIJAYAWADA,124,129,20,1101,952,267,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228,1081,287
92,VISHAKHAPATNAM,31,26,6,1785,1166,261,41,7,1,5,5,0,0,0,0,13,12,5,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,460,313,95,2339,1533,368
93,TOTAL (CITIES),14335,12062,3885,31753,27448,7415,1137,843,262,93,55,41,768,497,127,289,203,140,683,593,250,425,393,166,258,200,84,167,100,81,198,150,77,1441,1228,328,4578,4344,778,55442,47523,13384
